id,user_id,workout_id,tanggal,state_snapshot,mood,strategi,feedback,next_state,created_at,updated_at,reward
1,14,21,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:14:16,2025-07-22 13:14:33,0
2,14,23,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,2,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:15:47,2025-07-22 13:15:53,0
3,14,15,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,exploit,2,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:15:55,2025-07-22 13:16:02,0
4,14,26,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,-5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:16:04,2025-07-22 13:16:07,0
5,14,16,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:16:10,2025-07-22 13:16:15,0
6,14,24,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:16:18,2025-07-22 13:16:21,0
7,14,19,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,2,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:16:44,2025-07-22 13:16:48,0
8,14,22,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,-5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:16:50,2025-07-22 13:16:55,0
9,14,16,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,exploit,5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:17:03,2025-07-22 13:17:08,0
10,14,20,2025-07-22,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar"",
    ""mood"": ""Bagus"",
    ""user_id"": 14
}",Bagus,explore,5,"{
    ""usia"": ""Dewasa"",
    ""jenis_kelamin"": ""Pria"",
    ""kategori_bmi"": ""Berat badan normal"",
    ""kondisi_kesehatan"": ""Normal"",
    ""tingkat_kebugaran"": ""Sedang"",
    ""jenis_olahraga_favorit"": ""Kardio"",
    ""tujuan_workout"": ""Meningkatkan Massa Otot & Kekuatan"",
    ""durasi_latihan"": ""<=30 menit"",
    ""kelengkapan_alat"": ""Dasar""
}",2025-07-22 13:17:11,2025-07-22 13:17:15,0
